date,Usage_kWh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,WeekStatus,Day_of_week,Load_Type
29/04/2018 07:15,2.88,60.20,100.00,3.82,0.00,Weekend,Sunday,Light_Load
04/10/2018 12:00,60.77,78.46,100.00,48.02,0.00,Weekday,Thursday,Maximum_Load
26/01/2018 11:30,120.42,89.61,100.00,59.65,0.00,Weekday,Friday,Maximum_Load
02/06/2018 14:30,3.13,100.00,18.53,0.00,16.60,Weekend,Saturday,Light_Load
07/12/2018 15:00,58.86,94.19,100.00,20.99,0.00,Weekday,Friday,Medium_Load
26/03/2018 06:00,3.10,66.41,100.00,3.49,0.00,Weekday,Monday,Light_Load
18/12/2018 13:00,9.40,100.00,41.65,0.00,20.52,Weekday,Tuesday,Medium_Load
18/04/2018 00:45,3.60,73.21,100.00,3.35,0.00,Weekday,Wednesday,Light_Load
23/11/2018 23:30,4.61,90.25,99.99,2.20,0.07,Weekday,Friday,Light_Load
08/12/2018 00:00,3.78,77.02,99.96,3.13,0.11,Weekend,Saturday,Light_Load
15/07/2018 04:30,2.84,47.51,100.00,5.26,0.00,Weekend,Sunday,Light_Load
23/05/2018 06:00,3.02,49.79,100.00,5.26,0.00,Weekday,Wednesday,Light_Load
26/07/2018 23:15,2.84,46.82,100.00,5.36,0.00,Weekday,Thursday,Light_Load
08/11/2018 17:15,64.84,78.38,100.00,51.37,0.00,Weekday,Thursday,Maximum_Load
28/10/2018 01:30,2.81,47.68,100.00,5.18,0.00,Weekend,Sunday,Light_Load
05/01/2018 14:30,87.05,92.16,100.00,36.65,0.00,Weekday,Friday,Medium_Load
24/11/2018 04:30,3.64,75.10,100.00,3.20,0.00,Weekend,Saturday,Light_Load
15/10/2018 16:15,111.20,90.43,100.00,52.49,0.00,Weekday,Monday,Maximum_Load
14/08/2018 12:00,72.86,78.77,100.00,56.99,0.00,Weekday,Tuesday,Maximum_Load
25/05/2018 19:45,37.80,99.83,99.99,2.20,0.40,Weekday,Friday,Medium_Load
19/01/2018 01:00,53.93,85.67,100.00,32.47,0.00,Weekday,Friday,Light_Load
18/05/2018 15:45,58.93,88.88,100.00,30.38,0.00,Weekday,Friday,Maximum_Load
26/09/2018 04:45,2.59,43.51,100.00,5.36,0.00,Weekday,Wednesday,Light_Load
19/05/2018 19:45,3.71,100.00,18.10,0.00,20.16,Weekend,Saturday,Medium_Load
13/06/2018 16:45,3.42,100.00,17.29,0.00,19.48,Weekday,Wednesday,Maximum_Load
14/06/2018 03:00,2.88,57.11,100.00,4.14,0.00,Weekday,Thursday,Light_Load
28/12/2018 11:30,64.94,91.01,100.00,29.56,0.00,Weekday,Friday,Maximum_Load
18/01/2018 09:15,97.13,91.12,100.00,43.92,0.00,Weekday,Thursday,Medium_Load
24/12/2018 16:30,69.55,91.93,100.00,29.77,0.00,Weekday,Monday,Medium_Load
24/06/2018 03:15,2.59,60.82,100.00,3.38,0.00,Weekend,Sunday,Light_Load
25/02/2018 11:30,4.68,100.00,59.39,0.00,6.34,Weekend,Sunday,Light_Load
03/01/2018 20:30,37.30,99.70,99.95,2.88,1.22,Weekday,Wednesday,Medium_Load
12/10/2018 23:45,3.49,48.69,100.00,6.26,0.00,Weekday,Friday,Light_Load
14/09/2018 01:30,3.53,58.22,100.00,4.93,0.00,Weekday,Friday,Light_Load
05/04/2018 03:45,3.10,64.12,100.00,3.71,0.00,Weekday,Thursday,Light_Load
03/07/2018 07:30,3.53,55.72,100.00,5.26,0.00,Weekday,Tuesday,Light_Load
17/09/2018 09:00,56.34,87.45,100.00,31.25,0.00,Weekday,Monday,Light_Load
06/12/2018 04:15,3.31,76.69,100.00,2.77,0.00,Weekday,Thursday,Light_Load
15/03/2018 06:30,3.38,50.61,100.00,5.76,0.00,Weekday,Thursday,Light_Load
01/08/2018 06:30,2.66,48.55,100.00,4.79,0.00,Weekday,Wednesday,Light_Load
12/07/2018 01:00,2.99,52.71,100.00,4.82,0.00,Weekday,Thursday,Light_Load
24/05/2018 21:45,8.39,100.00,34.55,0.00,22.79,Weekday,Thursday,Medium_Load
08/05/2018 23:30,3.60,73.61,100.00,3.31,0.00,Weekday,Tuesday,Light_Load
15/07/2018 22:15,4.72,100.00,20.89,0.00,22.10,Weekend,Sunday,Medium_Load
21/05/2018 14:45,76.18,84.90,100.00,47.41,0.00,Weekday,Monday,Maximum_Load
01/01/2018 17:45,3.60,100.00,20.27,0.00,17.39,Weekday,Monday,Light_Load
16/07/2018 21:15,4.90,100.00,20.00,0.00,24.01,Weekday,Monday,Medium_Load
28/09/2018 10:00,47.20,88.77,100.00,24.48,0.00,Weekday,Friday,Medium_Load
16/11/2018 19:30,59.04,91.36,100.00,26.28,0.00,Weekday,Friday,Maximum_Load
31/07/2018 02:30,2.84,54.58,100.00,4.36,0.00,Weekday,Tuesday,Light_Load
05/09/2018 11:30,64.26,85.62,100.00,38.77,0.00,Weekday,Wednesday,Maximum_Load
04/12/2018 21:15,5.69,100.00,27.11,0.00,20.20,Weekday,Tuesday,Medium_Load
27/09/2018 01:15,2.74,41.48,100.00,6.01,0.00,Weekday,Thursday,Light_Load
06/09/2018 17:00,57.89,89.11,100.00,29.48,0.00,Weekday,Thursday,Maximum_Load
17/06/2018 14:15,3.02,100.00,17.64,0.00,16.85,Weekend,Sunday,Light_Load
06/11/2018 08:15,35.03,75.16,100.00,30.74,0.00,Weekday,Tuesday,Light_Load
06/12/2018 22:00,5.54,100.00,26.72,0.00,19.98,Weekday,Thursday,Medium_Load
13/01/2018 01:30,4.64,76.63,100.00,3.89,0.00,Weekend,Saturday,Light_Load
12/07/2018 01:45,2.95,51.89,100.00,4.86,0.00,Weekday,Thursday,Light_Load
26/03/2018 15:15,59.76,97.31,100.00,14.15,0.00,Weekday,Monday,Maximum_Load
22/11/2018 12:15,5.22,100.00,24.45,0.00,20.70,Weekday,Thursday,Medium_Load
16/11/2018 10:15,67.68,85.71,100.00,40.68,0.00,Weekday,Friday,Maximum_Load
08/02/2018 14:30,118.22,90.95,100.00,54.04,0.00,Weekday,Thursday,Medium_Load
07/02/2018 03:45,5.90,74.45,100.00,5.29,0.00,Weekday,Wednesday,Light_Load
07/04/2018 06:15,3.17,51.12,100.00,5.33,0.00,Weekend,Saturday,Light_Load
03/06/2018 23:45,3.17,55.19,100.00,4.79,0.00,Weekend,Sunday,Light_Load
21/11/2018 08:30,50.08,84.29,100.00,31.97,0.00,Weekday,Wednesday,Light_Load
22/12/2018 03:15,3.82,80.25,99.98,2.84,0.07,Weekend,Saturday,Light_Load
05/07/2018 19:30,57.85,93.20,100.00,22.50,0.00,Weekday,Thursday,Medium_Load
05/12/2018 08:15,27.65,84.95,100.00,17.17,0.11,Weekday,Wednesday,Light_Load
08/05/2018 03:45,3.02,62.82,100.00,3.74,0.00,Weekday,Tuesday,Light_Load
25/12/2018 03:45,3.28,80.59,99.98,2.41,0.07,Weekday,Tuesday,Light_Load
06/07/2018 18:15,60.44,87.32,99.99,33.73,0.61,Weekday,Friday,Medium_Load
02/01/2018 00:15,3.20,71.82,100.00,3.10,0.00,Weekday,Tuesday,Light_Load
16/04/2018 18:15,37.87,93.21,99.99,14.72,0.65,Weekday,Monday,Medium_Load
23/08/2018 14:30,40.07,98.02,100.00,8.10,0.00,Weekday,Thursday,Maximum_Load
28/08/2018 23:00,3.13,53.83,100.00,4.90,0.00,Weekday,Tuesday,Medium_Load
26/02/2018 00:30,3.82,75.58,100.00,3.31,0.00,Weekday,Monday,Light_Load
21/12/2018 11:45,57.85,92.38,100.00,23.98,0.00,Weekday,Friday,Maximum_Load
18/10/2018 17:30,47.41,85.21,100.00,29.12,0.00,Weekday,Thursday,Medium_Load
22/11/2018 04:45,3.20,71.04,100.00,3.17,0.00,Weekday,Thursday,Light_Load
28/08/2018 07:15,2.52,50.04,100.00,4.36,0.00,Weekday,Tuesday,Light_Load
28/07/2018 10:00,47.23,96.30,100.00,13.21,0.00,Weekend,Saturday,Medium_Load
16/07/2018 06:00,2.81,48.70,100.00,5.04,0.00,Weekday,Monday,Light_Load
16/05/2018 02:00,3.82,61.80,100.00,4.86,0.00,Weekday,Wednesday,Light_Load
22/12/2018 15:30,3.53,100.00,24.21,0.00,14.15,Weekend,Saturday,Light_Load
21/07/2018 09:45,43.49,87.66,100.00,23.87,0.00,Weekend,Saturday,Medium_Load
02/09/2018 05:15,3.17,45.99,100.00,6.12,0.00,Weekend,Sunday,Light_Load
02/09/2018 01:15,2.74,48.81,100.00,4.90,0.00,Weekend,Sunday,Light_Load
12/02/2018 07:30,5.33,72.66,100.00,5.04,0.00,Weekday,Monday,Light_Load
13/03/2018 13:15,53.75,95.73,99.88,16.24,2.66,Weekday,Tuesday,Maximum_Load
24/01/2018 17:30,65.16,96.53,100.00,17.64,0.00,Weekday,Wednesday,Maximum_Load
27/01/2018 11:30,30.85,97.18,100.00,7.49,0.00,Weekend,Saturday,Maximum_Load
03/05/2018 04:00,3.13,61.63,100.00,4.00,0.00,Weekday,Thursday,Light_Load
08/05/2018 11:00,80.14,91.30,100.00,35.82,0.00,Weekday,Tuesday,Maximum_Load
28/08/2018 04:45,2.63,54.27,100.00,4.07,0.00,Weekday,Tuesday,Light_Load
06/11/2018 22:00,3.85,100.00,21.70,0.00,17.32,Weekday,Tuesday,Medium_Load
12/06/2018 16:00,63.61,96.08,100.00,18.36,0.00,Weekday,Tuesday,Maximum_Load
