Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
0.584,0.148,245.90,2.4,0,0,0
1.492,0.328,239.96,6.2,0,2,18
1.020,0.182,239.71,4.4,0,0,11
0.718,0.146,243.44,3.0,0,0,0
1.066,0.290,242.02,4.6,0,2,11
0.200,0.050,241.86,0.8,0,0,0
1.922,0.352,239.39,8.2,1,1,0
1.332,0.000,242.42,5.4,0,1,19
1.578,0.142,238.94,6.6,0,2,1
0.124,0.000,233.98,0.6,0,0,0
0.250,0.000,239.84,1.0,0,0,0
0.692,0.262,242.72,3.6,0,1,6
0.142,0.000,238.52,0.6,0,0,1
1.364,0.076,238.18,5.6,0,0,18
2.720,0.000,240.62,11.2,0,0,18
0.424,0.230,244.58,2.0,0,0,0
1.282,0.104,240.39,5.2,0,1,19
3.916,0.000,238.99,16.4,38,0,18
1.662,0.142,238.30,7.4,0,0,1
1.772,0.000,235.71,7.6,0,0,17
0.246,0.068,240.17,1.0,0,0,1
1.328,0.060,239.49,5.4,0,0,18
0.296,0.000,242.05,1.4,0,0,1
0.240,0.068,236.61,1.0,0,0,0
0.394,0.158,243.23,1.6,0,1,1
0.372,0.098,242.25,1.6,0,0,1
1.066,0.000,242.82,4.4,0,1,0
0.288,0.080,237.64,1.4,1,0,1
1.956,0.212,240.70,8.2,0,0,18
0.466,0.062,240.46,2.0,0,0,0
0.174,0.000,242.54,0.8,0,0,0
0.462,0.000,241.69,1.8,0,0,1
1.582,0.202,243.07,6.6,0,1,18
1.986,0.202,243.24,8.2,0,0,30
0.326,0.104,244.66,1.4,0,0,0
3.974,0.252,236.08,16.8,37,2,17
0.162,0.000,243.22,0.6,0,0,1
3.738,0.220,239.03,15.8,0,34,17
0.222,0.000,243.93,0.8,0,0,0
1.326,0.000,243.01,5.4,0,0,18
0.430,0.252,248.22,2.0,0,0,0
0.528,0.140,242.79,2.2,0,0,1
0.324,0.148,241.86,1.6,0,2,1
0.566,0.238,240.88,2.8,0,1,1
0.312,0.102,242.27,1.4,0,0,0
0.164,0.000,241.86,0.8,0,0,0
0.356,0.246,243.59,1.8,0,1,0
1.294,0.072,239.14,5.4,0,0,18
1.710,0.100,238.36,7.2,0,0,17
0.410,0.342,240.58,2.2,0,2,0
1.290,0.104,239.36,5.4,0,0,19
0.118,0.000,240.69,0.6,0,0,0
1.888,0.082,240.33,7.8,0,0,19
0.246,0.000,244.77,1.0,0,0,0
0.326,0.172,238.83,1.6,0,0,0
1.368,0.000,235.65,5.8,0,0,17
0.442,0.068,248.15,1.8,0,1,0
2.000,0.262,239.00,8.4,0,0,0
3.014,0.428,234.95,12.8,1,0,17
0.532,0.094,245.14,2.4,0,0,0
0.190,0.110,238.81,0.8,0,1,0
1.246,0.000,245.81,5.0,0,0,0
3.834,0.064,237.31,16.0,37,2,0
0.308,0.102,244.18,1.2,0,1,0
2.150,0.116,245.96,8.8,0,0,19
1.894,0.162,243.95,7.8,0,0,0
1.356,0.000,241.67,5.6,0,0,18
0.304,0.222,242.35,1.6,0,1,0
2.168,0.208,237.54,9.4,0,0,9
0.498,0.216,243.83,2.2,0,0,0
4.390,0.480,239.00,18.6,0,21,0
1.758,0.078,243.05,7.2,0,0,19
0.390,0.196,240.55,1.8,0,1,0
0.188,0.106,242.86,0.8,0,0,0
2.222,0.322,233.81,9.6,0,2,17
1.436,0.078,240.75,6.0,0,1,18
2.916,0.104,240.06,12.2,0,1,18
0.412,0.226,245.72,1.8,0,0,0
0.228,0.000,244.56,1.0,0,0,0
1.630,0.200,242.84,6.8,0,0,19
1.586,0.206,240.43,6.6,0,0,18
2.466,0.122,236.46,10.4,0,2,0
1.326,0.000,239.64,5.4,0,0,18
0.272,0.210,234.88,1.4,0,0,0
1.562,0.046,239.44,6.4,0,1,0
1.030,0.072,237.14,4.4,0,0,0
0.228,0.100,240.78,1.0,0,0,0
0.340,0.076,244.47,1.6,0,0,1
1.324,0.050,239.58,5.4,0,0,18
0.284,0.000,246.24,1.2,0,0,0
0.464,0.254,246.34,2.2,0,0,1
0.250,0.000,243.30,1.0,0,0,1
1.570,0.154,241.00,6.6,0,1,19
0.138,0.000,241.21,0.6,0,0,1
0.256,0.162,242.57,1.4,0,1,0
3.492,0.388,239.52,14.6,0,0,1
1.640,0.088,238.36,7.0,0,0,18
0.380,0.082,240.87,1.6,0,1,0
1.292,0.354,243.37,5.6,1,1,12
1.290,0.054,239.18,5.4,0,0,18
0.390,0.202,245.15,1.8,0,1,0
0.352,0.104,245.41,1.4,0,0,1
2.690,0.050,237.24,11.2,0,0,17
0.236,0.134,240.02,1.0,0,0,0
3.422,0.000,237.29,14.4,0,38,0
0.420,0.206,238.45,1.8,0,1,0
0.694,0.126,245.52,2.8,0,0,0
1.436,0.068,238.72,6.0,0,0,0
2.596,0.260,234.50,11.0,37,0,0
0.228,0.106,241.03,1.0,0,0,1
0.318,0.106,243.56,1.4,0,0,0
3.064,0.492,235.50,13.6,0,1,17
0.230,0.088,240.50,1.0,0,0,0
2.336,0.274,240.59,10.4,0,0,18
1.404,0.090,239.65,5.8,0,0,18
2.828,0.258,239.01,11.8,0,37,0
0.192,0.000,240.33,1.0,0,0,1
0.764,0.296,242.49,3.4,1,0,0
0.214,0.000,243.04,1.0,0,0,1
0.760,0.396,238.64,3.6,0,0,1
0.494,0.194,243.28,2.2,0,0,1
1.510,0.100,237.11,6.4,0,0,17
0.290,0.058,238.99,1.2,0,0,0
0.348,0.054,244.33,1.4,0,0,0
1.214,0.198,243.33,5.0,1,0,0
